,drugbank_name
110,"(1S,4S)-4-(3,4-dichlorophenyl)-N-methyl-1,2,3,4-tetrahydronaphthalen-1-amine"
59,(3R)-N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine
60,(3S)-N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine
8,"(6r,1'r,2's)-5,6,7,8 Tetrahydrobiopterin"
56,2-Fluoroadenosine
177,"3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-yl-1H-pyrazol-4-yl)pyridin-2-amine"
170,4-BROMO-2-FLUORO-N-[(4E)-6-METHOXY-7-[(1-METHYLPIPERIDIN-4-YL)METHOXY]QUINAZOLIN-4(1H)-YLIDENE]ANILINE
9,"6s-5,6,7,8-Tetrahydrobiopterin"
3,9-Beta-D-Xylofuranosyl-Adenine
13,Abacavir
24,Acetylsalicylic acid
2,Adenosine
119,Alitretinoin
21,Allopurinol
0,Aminolevulinic acid
22,Amobarbital
15,Amphotericin B
161,Aprepitant
23,Argatroban
141,Aripiprazole
66,Atropine
25,Baclofen
4,Beta-D-Glucose
26,Betaxolol
27,Bisoprolol
176,Boceprevir
147,Bortezomib
151,Bosentan
173,Bosutinib
28,Brimonidine
29,Bupivacaine
33,Buprenorphine
35,Busulfan
36,Butabarbital
37,Butorphanol
38,Cabergoline
126,Carboprost Tromethamine
40,Carteolol
156,Caspofungin
41,Clobazam
153,Clofarabine
42,Clomipramine
43,Clonidine
44,Cocaine
178,Crizotinib
45,Cyclophosphamide
5,D-Allopyranose
46,Dantrolene
164,Darunavir
132,Desflurane
135,Dexmedetomidine
88,Dextrofloxacine
47,Diazepam
127,Dinoprost Tromethamine
49,Docetaxel
50,Dorzolamide
51,Doxapram
134,Esmolol
130,Etomidate
52,Felbamate
53,Fentanyl
57,Fludarabine
129,Fluorescein
58,Fluoxetine
61,Foscarnet
62,Gabapentin
163,Gadobenate Dimeglumine
157,Gefitinib
63,Gemcitabine
64,Hydromorphone
65,Hyoscyamine
67,Ibuprofen
68,Ifosfamide
69,Indinavir
121,Isotretinoin
174,Ixabepilone
167,Lenalidomide
133,Levetiracetam
70,Levobunolol
30,Levobupivacaine
86,Levofloxacin
71,Levorphanol
72,Lorazepam
168,Maraviroc
74,Memantine
140,Meropenem
75,Methotrexate
76,Metoclopramide
77,Midazolam
80,Morphine
84,Mycophenolate mofetil
85,Mycophenolic acid
148,N-[(1R)-1-(DIHYDROXYBORYL)-3-METHYLBUTYL]-N-(PYRAZIN-2-YLCARBONYL)-L-PHENYLALANINAMIDE
6,Nicotine
152,Nitisinone
87,Ofloxacin
89,Oxycodone
90,Paclitaxel
160,Palonosetron
91,Pancuronium
142,Pemetrexed
92,Pentobarbital
93,Pergolide
94,Phenobarbital
96,Pramipexole
158,Pregabalin
97,Prilocaine
98,Propafenone
99,Propofol
95,Quinidine barbiturate
100,Rabeprazole
144,Reboxetine
101,Ribavirin
102,Riluzole
104,Ritonavir
105,Rivastigmine
139,Rocuronium
106,Ropinirole
145,Ropivacaine
175,SCH-503034
108,Secobarbital
109,Sertraline
111,Sevoflurane
165,Sitaxentan
107,Stavudine
112,Succinylcholine
171,Sunitinib
113,Tacrolimus
115,Temozolomide
146,Terlipressin
7,Tetrahydrobiopterin
116,Timolol
166,Tolvaptan
117,Topotecan
118,Tranexamic Acid
120,Tretinoin
128,Tris(Hydroxymethyl)Aminomethane
143,Trovafloxacin
154,Valdecoxib
169,Vandetanib
131,Vecuronium
122,Venlafaxine
39,Verapamil
1,Vidarabine
123,Vigabatrin
125,Vincristine
124,Vinorelbine
155,parecoxib
